,day,hour,min,price,inventory,date,timestamp,minute,main_contract,main_volume,main_contract_clean,signal,opti_price
0,44622,6,0,332.38,1,2022-03-02,2022-03-02 06:00:00,2022-03-02 06:00:00,HOJ22.csv,16,HOJ22.csv,1.0,332.29
1,44622,10,30,337.18,3,2022-03-02,2022-03-02 10:30:00,2022-03-02 10:30:00,HOJ22.csv,39,HOJ22.csv,2.0,337.09000000000003
2,44622,12,0,340.33,6,2022-03-02,2022-03-02 12:00:00,2022-03-02 12:00:00,HOJ22.csv,45,HOJ22.csv,3.0,340.24
3,44622,16,0,354.31,4,2022-03-02,2022-03-02 16:00:00,2022-03-02 16:00:00,HOJ22.csv,7,HOJ22.csv,-2.0,354.4
4,44623,6,0,362.81,3,2022-03-03,2022-03-03 06:00:00,2022-03-03 06:00:00,HOJ22.csv,4,HOJ22.csv,-1.0,362.9
5,44623,12,0,349.89,2,2022-03-03,2022-03-03 12:00:00,2022-03-03 12:00:00,HOJ22.csv,79,HOJ22.csv,-1.0,349.97999999999996
6,44623,16,0,350.08,0,2022-03-03,2022-03-03 16:00:00,2022-03-03 16:00:00,HOJ22.csv,23,HOJ22.csv,-2.0,350.16999999999996
7,44624,10,30,369.01,2,2022-03-04,2022-03-04 10:30:00,2022-03-04 10:30:00,HOJ22.csv,25,HOJ22.csv,2.0,368.92
8,44624,12,0,365.49,6,2022-03-04,2022-03-04 12:00:00,2022-03-04 12:00:00,HOJ22.csv,63,HOJ22.csv,4.0,365.40000000000003
9,44624,16,0,376.9,3,2022-03-04,2022-03-04 16:00:00,2022-03-04 16:00:00,HOJ22.csv,9,HOJ22.csv,-3.0,376.98999999999995
10,44624,16,20,376.52,0,2022-03-04,2022-03-04 16:20:00,2022-03-04 16:20:00,HOJ22.csv,2,HOJ22.csv,-3.0,376.60999999999996
11,44627,10,30,389.24,2,2022-03-07,2022-03-07 10:30:00,2022-03-07 10:30:00,HOJ22.csv,106,HOJ22.csv,2.0,389.15000000000003
12,44627,12,0,394.21,6,2022-03-07,2022-03-07 12:00:00,2022-03-07 12:00:00,HOJ22.csv,54,HOJ22.csv,4.0,394.12
13,44627,14,30,390.88,5,2022-03-07,2022-03-07 14:30:00,2022-03-07 14:30:00,HOJ22.csv,245,HOJ22.csv,-1.0,390.96999999999997
14,44627,16,0,394.44,3,2022-03-07,2022-03-07 16:00:00,2022-03-07 16:00:00,HOJ22.csv,8,HOJ22.csv,-2.0,394.53
15,44628,10,30,439.78,5,2022-03-08,2022-03-08 10:30:00,2022-03-08 10:30:00,HOJ22.csv,35,HOJ22.csv,2.0,439.69
16,44628,12,0,443.24,2,2022-03-08,2022-03-08 12:00:00,2022-03-08 12:00:00,HOK22.csv,52,HOJ22.csv,-3.0,443.33
17,44628,14,30,442.93,0,2022-03-08,2022-03-08 14:30:00,2022-03-08 14:30:00,HOJ22.csv,86,HOJ22.csv,-2.0,443.02
18,44630,4,30,370.73,-2,2022-03-10,2022-03-10 04:30:00,2022-03-10 04:30:00,HOK22.csv,2,HOK22.csv,-2.0,353.25
19,44630,8,30,367.68,0,2022-03-10,2022-03-10 08:30:00,2022-03-10 08:30:00,HOJ22.csv,31,HOJ22.csv,2.0,367.59000000000003
20,44630,12,0,334.09,3,2022-03-10,2022-03-10 12:00:00,2022-03-10 12:00:00,HOJ22.csv,62,HOJ22.csv,3.0,334.0
21,44630,16,0,330.64,2,2022-03-10,2022-03-10 16:00:00,2022-03-10 16:00:00,HOJ22.csv,6,HOJ22.csv,-1.0,330.72999999999996
22,44631,4,30,338.46,0,2022-03-11,2022-03-11 04:30:00,2022-03-11 04:30:00,HOJ22.csv,11,HOJ22.csv,-2.0,338.54999999999995
23,44631,8,30,330.3,2,2022-03-11,2022-03-11 08:30:00,2022-03-11 08:30:00,HOJ22.csv,44,HOJ22.csv,2.0,330.21000000000004
24,44631,12,0,340.06,6,2022-03-11,2022-03-11 12:00:00,2022-03-11 12:00:00,HOJ22.csv,38,HOJ22.csv,4.0,339.97
25,44631,16,0,340.73,3,2022-03-11,2022-03-11 16:00:00,2022-03-11 16:00:00,HOJ22.csv,5,HOJ22.csv,-3.0,340.82
26,44631,16,20,341.94,0,2022-03-11,2022-03-11 16:20:00,2022-03-11 16:20:00,HOJ22.csv,3,HOJ22.csv,-3.0,342.03
27,44634,4,30,339.89,-2,2022-03-14,2022-03-14 04:30:00,2022-03-14 04:30:00,HOJ22.csv,15,HOJ22.csv,-2.0,339.97999999999996
28,44634,6,0,333.84,-1,2022-03-14,2022-03-14 06:00:00,2022-03-14 06:00:00,HOJ22.csv,10,HOJ22.csv,1.0,333.75
29,44634,6,30,333.12,0,2022-03-14,2022-03-14 06:30:00,2022-03-14 06:30:00,HOJ22.csv,3,HOJ22.csv,1.0,333.03000000000003
30,44634,8,30,334.69,2,2022-03-14,2022-03-14 08:30:00,2022-03-14 08:30:00,HOM22.csv,2,HOM22.csv,2.0,311.73
31,44634,10,30,327.39,1,2022-03-14,2022-03-14 10:30:00,2022-03-14 10:30:00,HOJ22.csv,14,HOJ22.csv,-1.0,327.47999999999996
32,44635,6,0,306.32,0,2022-03-15,2022-03-15 06:00:00,2022-03-15 06:00:00,HOJ22.csv,2,HOJ22.csv,-1.0,306.40999999999997
